"ID","PEN","LACT","Event","DIM","Date","Remark","R","T","B","Protocols","Technician",
       441 ,    11 ,   3 ,FRESH      ,   0 ,09/27/23,                ,  ,   ,  ,                ,,
       441 ,     3 ,   3 ,LAB        ,   0 ,09/27/23,REPLI           ,  ,   ,  ,                ,,
       441 ,     3 ,   3 ,LAB        ,   0 ,09/27/23,PASTE           ,  ,   ,  ,                ,,
       441 ,     3 ,   3 ,LAB        ,   5 ,10/02/23,ERE             ,  ,   ,  ,                ,,
       441 ,     3 ,   3 ,MOVE       ,  43 ,11/09/23,F003T001        ,  ,   ,  ,                ,,
       441 ,     1 ,   3 ,PREG       ,  51 ,11/17/23,528J4887        ,P , 4 ,L ,                ,Relief,
       441 ,     1 ,   3 ,MAST       ,  63 ,11/29/23,                ,  ,   ,  ,                ,,
       441 ,     7 ,   3 ,LAB        ,  64 ,11/30/23,MASTALER        ,  ,   ,  ,                ,,
       441 ,     7 ,   3 ,LAB        ,  64 ,11/30/23,ER              ,  ,   ,  ,                ,,
       441 ,     7 ,   3 ,LAB        ,  64 ,11/30/23,AR              ,  ,   ,  ,                ,,
       441 ,     7 ,   3 ,MAST       ,  64 ,11/30/23,RF              ,  ,   ,  ,                ,,
       441 ,     7 ,   3 ,LAB        ,  65 ,12/01/23,RA              ,  ,   ,  ,                ,,
       441 ,     7 ,   3 ,MOVE       ,  76 ,12/12/23,F007T005        ,  ,   ,  ,                ,,
       441 ,     5 ,   3 ,LAB        , 117 ,01/22/24,MASTALER        ,  ,   ,  ,                ,,
       443 ,    20 ,   0 ,BRED       , 482 ,12/18/23,528J5008        ,- ,15 ,C ,                ,James,
       444 ,     1 ,   2 ,DRY        , 352 ,08/10/23,                ,  ,   ,  ,                ,,
       444 ,    10 ,   2 ,CUDMV      , 379 ,09/06/23,                ,  ,   ,  ,                ,,
       444 ,     3 ,   3 ,REPMSP     ,   0 ,10/09/23,                ,  ,   ,  ,                ,,
       444 ,     3 ,   3 ,RETAINP    ,   0 ,10/09/23,PASTE           ,  ,   ,  ,                ,,
       444 ,    11 ,   3 ,FRESH      ,   0 ,10/09/23,                ,  ,   ,  ,                ,,
       444 ,     4 ,   3 ,LAB        ,  13 ,10/22/23,                ,  ,   ,  ,                ,,
       444 ,     4 ,   3 ,LAB        ,  13 ,10/22/23,EASE            ,  ,   ,  ,                ,,
       444 ,     3 ,   3 ,MOVE       ,  45 ,11/23/23,F003T001        ,  ,   ,  ,                ,,
       444 ,     1 ,   3 ,OPEN       ,  52 ,11/30/23,528J4887        ,O ,15 ,L ,                ,James,
       444 ,     1 ,   3 ,OPEN       ,  89 ,01/06/24,528J5008        ,O ,15 ,C ,                ,James,
       444 ,     5 ,   3 ,OPEN       , 113 ,01/30/24,528J5008        ,O ,15 ,A ,                ,James,
       444 ,     5 ,   3 ,BRED       , 135 ,02/21/24,HEX             ,- ,15 ,E ,                ,James,
