ID,date,yield,conductivity,bacteria,gram,type,rum_index_seconds,water_intake_liter,Event
893,2023-12-07,80.08061688,9.5,SU,P,E,27688.625,17.38,[]
919,2023-12-07,66.3149696,9.9,MBG,P,C,28818.625,0.0,[]
971,2023-12-07,0.0,0.0,SC,P,E,22532.125,0.0,[]
1643,2023-12-07,47.51176562,10.2,MBG,P,C,29386.5,0.0,[]
1668,2023-12-07,101.61314042000001,10.0,SA,P,C,31987.083333333332,15.01,[]
1674,2023-12-07,80.92278172,10.8,MBG,P,C,23197.25,32.5,[]
1757,2023-12-07,0.0,0.0,MBG,P,E,21329.833333333332,0.0,[]
1877,2023-12-07,78.96066992,10.3,MBG,P,C,25060.416666666668,45.57,[]
1934,2023-12-07,78.01047870000001,12.7,MBG,P,C,27352.875,27.68,[]
1950,2023-12-07,89.70378318,10.8,CON,P,E,29615.75,0.0,[]
3620,2023-12-07,0.0,0.0,MBG,.,C,28468.875,0.0,[]
4018,2023-12-07,65.72192682000001,9.8,MBG,P,E,23731.916666666668,0.0,[]
4031,2023-12-07,0.0,0.0,BN,.,.,28815.416666666668,22.22,[]
4315,2023-12-07,87.22358568,9.3,CON,P,C,27263.5,15.83,[]
4687,2023-12-07,72.24760202,10.6,CON,P,C,28320.166666666668,17.19,[]
5054,2023-12-07,0.0,0.0,Coryne,P,C,34813.166666666664,0.0,[]
5164,2023-12-07,0.0,0.0,MBG,P,C,25941.291666666668,8.42,[]
5273,2023-12-07,64.53143202,11.8,CON,P,C,26833.583333333332,16.18,[]
5274,2023-12-07,86.30205452,9.7,SA,P,C,26568.791666666668,0.0,[]
5281,2023-12-07,74.25601084,9.5,MBG,P,C,33059.791666666664,0.0,[]
5282,2023-12-07,56.72707722,9.1,MBG,P,C,16115.541666666666,15.41,['OPEN']
5340,2023-12-07,65.84979478,12.0,SC,P,E,27602.583333333332,38.92,[]
5367,2023-12-07,100.6960185,10.2,MBG,P,C,28660.791666666668,34.79,[]
5444,2023-12-07,58.42463462,9.6,MBG,P,C,25089.25,18.26,[]
5452,2023-12-07,43.81902712,11.3,SA,P,C,26379.916666666668,0.0,['LAB']
5470,2023-12-07,82.1441412,9.0,MBG,P,C,31870.625,19.7,[]
5600,2023-12-07,52.02462276,10.1,SC,P,E,25709.25,21.1,[]
5771,2023-12-07,65.13770252,9.3,CON,P,C,32960.916666666664,31.98,[]
5805,2023-12-07,0.0,0.0,MBG,P,E,24667.083333333332,12.62,[]
5971,2023-12-07,81.24906548,10.6,CON,P,C,27801.166666666668,0.0,[]
6055,2023-12-07,58.62966428,0.0,MBG,P,C,27202.666666666668,28.25,[]
6074,2023-12-07,0.0,0.0,SA,P,C,28073.875,0.0,[]
6104,2023-12-07,0.0,0.0,CON,P,C,26504.291666666668,15.89,[]
